KLDO data file V101
[{PARAMETERS}]
[{TotalTime}]
10:30

[{PreTemp}]
210

[{CookDate}]
26-04-19 17:08:29

[{Comment}]
sim

[{EVENT}]
[{StartBeansIn}]
210@00:00

[{TemperBack}]
102@00:43

[{TurntoYellow}]
150@03:28

[{1stBoomStart}]


[{1stBoomEnd}]

[{2ndBoomStart}]

[{2ndBoomEnd}]

[{BeansColdDown}]
240@10:30

[{DATA}]
Index,Time,BT,ET,RoR,SV,HPM,HP,SM,RL,PS
1,1000,201,212,0.00,0,M,70,30,70,O
2,2000,192,213,0.00,0,M,70,30,70,O
3,3000,184,213,0.00,0,M,70,30,70,O
4,4000,176,214,0.00,0,M,70,30,70,O
5,5000,170,214,0.00,0,M,70,30,70,O
6,6000,163,214,0.00,0,M,70,30,70,O
7,7000,158,215,0.00,0,M,70,30,70,O
8,8000,152,215,0.00,0,M,70,30,70,O
9,9000,148,216,0.00,0,M,70,30,70,O
10,10000,143,216,0.00,0,M,70,30,70,O
11,11000,139,216,0.00,0,M,70,30,70,O
12,12000,136,217,0.00,0,M,70,30,70,O
13,13000,132,217,0.00,0,M,70,30,70,O
14,14000,129,218,0.00,0,M,70,30,70,O
15,15000,126,218,0.00,0,M,70,30,70,O
16,16000,124,218,0.00,0,M,70,30,70,O
17,17000,121,219,0.00,0,M,70,30,70,O
18,18000,119,219,0.00,0,M,70,30,70,O
19,19000,117,220,0.00,0,M,70,30,70,O
20,20000,116,220,0.00,0,M,70,30,70,O
21,21000,114,220,0.00,0,M,70,30,70,O
22,22000,113,221,0.00,0,M,70,30,70,O
23,23000,111,221,0.00,0,M,70,30,70,O
24,24000,110,222,0.00,0,M,70,30,70,O
25,25000,109,222,0.00,0,M,70,30,70,O
26,26000,108,222,0.00,0,M,70,30,70,O
27,27000,107,223,0.00,0,M,70,30,70,O
28,28000,106,223,0.00,0,M,70,30,70,O
29,29000,106,224,0.00,0,M,70,30,70,O
30,30000,105,224,0.00,0,M,70,30,70,O
31,31000,105,224,0.00,0,M,70,30,70,O
32,32000,104,225,0.00,0,M,70,30,70,O
33,33000,104,225,0.00,0,M,70,30,70,O
34,34000,103,226,0.00,0,M,70,30,70,O
35,35000,103,226,0.00,0,M,70,30,70,O
36,36000,103,226,0.00,0,M,70,30,70,O
37,37000,103,227,0.00,0,M,70,30,70,O
38,38000,102,227,0.00,0,M,70,30,70,O
39,39000,102,227,0.00,0,M,70,30,70,O
40,40000,102,228,0.00,0,M,70,30,70,O
41,41000,102,228,0.00,0,M,70,30,70,O
42,42000,102,229,0.00,0,M,70,30,70,O
43,43000,102,229,0.00,0,M,70,30,70,O
44,44000,102,229,0.00,0,M,70,30,70,O
45,45000,102,230,0.00,0,M,70,30,70,O
46,46000,102,230,0.00,0,M,70,30,70,O
47,47000,102,231,0.00,0,M,70,30,70,O
48,48000,102,231,0.00,0,M,70,30,70,O
49,49000,102,231,0.00,0,M,70,30,70,O
50,50000,103,232,0.00,0,M,70,30,70,O
51,51000,103,232,0.00,0,M,70,30,70,O
52,52000,103,232,0.00,0,M,70,30,70,O
53,53000,103,233,0.00,0,M,70,30,70,O
54,54000,103,233,0.00,0,M,70,30,70,O
55,55000,103,234,0.00,0,M,70,30,70,O
56,56000,103,234,0.00,0,M,70,30,70,O
57,57000,104,234,0.00,0,M,70,30,70,O
58,58000,104,235,0.00,0,M,70,30,70,O
59,59000,104,235,0.00,0,M,70,30,70,O
60,60000,104,235,0.00,0,M,70,30,70,O
